Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-001804,2018-01,01/01/2018 00:01,Y, , ,1, , 31111,1,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,6431,IDAHO AVE,1, ,ON STREET IN FRONT OF 6431 IDAHO,6431,IDAHO,890047.4,992586.3
18-002209,2018-01,01/01/2018 00:01,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5506,ETZEL AVE,48, , ,5506,ETZEL,884087.5,1030426
18-000063,2018-01,01/01/2018 00:01,Y, , ,1, , 67601,4,"LARCENY-FROM BUILDING $500 - $24,999",2543,N GRAND BLVD,59,THE BOULEVARD, ,2543,GRAND,899361.5,1026965
18-000018,2018-01,01/01/2018 00:01,Y, , ,1, , 41011,2,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4000,DE TONTY ST,27, , ,4000,DE TONTY,892323.3,1013550
18-000003,2018-01,01/01/2018 00:01,Y, , ,1, , 41011,3,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,3149,PESTALOZZI ST,25, , ,3149,PESTALOZZI,896039.9,1008823
18-000132,2018-01,01/01/2018 00:01,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4901,HOOKE AVE,71, , ,4901,HOOKE,894124.1,1038665
18-000010,2018-01,01/01/2018 00:01,Y, , ,1, , 41021,5,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,4711,WASHINGTON AVE,38, ,SINGLE FAMILY HOME,4711,WASHINGTON,889258.8,1025742
18-000010,2018-01,01/01/2018 00:01,Y, , ,1, , 41011,5,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE,4711,WASHINGTON AVE,38, ,SINGLE FAMILY HOME,4711,WASHINGTON,889258.8,1025742
18-003411,2018-01,01/01/2018 00:01,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1405,PINE ST,36, ,APARTMENT BUILDING,1405,PINE,905730.9,1018275
18-005259,2018-01,01/01/2018 00:01,Y, , ,1, , 67701,1,LARCENY-FROM BUILDING UNDER $500,4201,BEETHOVEN AVE,5, , ,1015,PARK,887948.4,1002640
18-002998,2018-01,01/01/2018 00:01,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5207,ALABAMA AVE,1, , ,5207,ALABAMA,892522.4,996015.9
18-000019,2018-01,01/01/2018 00:01,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4520,MARGARETTA AVE,69, ,@ENGINE CO 26,4520,MARGARETTA,894773.6,1034124
18-000011,2018-01,01/01/2018 00:01,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2754,KEOKUK ST,16, ,1ST FL,2754,KEOKUK,896896.8,1001859
18-000094,2018-01,01/01/2018 00:01,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3832,S BROADWAY,18,MOORE DESIGN GROUP, ,3832,BROADWAY,898288.8,1002100
18-003208,2018-01,01/01/2018 00:01,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,0,CHOUTEAU AVE / S TUCKER BLVD,34, , , , ,905532,1014351
18-000074,2018-01,01/01/2018 00:02,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2624,MICHIGAN AVE,25, , ,2624,MICHIGAN,896516.4,1009718
18-000006,2018-01,01/01/2018 00:05,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1546,SWITZER AVE,73, , ,1546,SWITZER,893345.3,1049202
18-000574,2018-01,01/01/2018 00:05,Y, , ,1, ,142320,5,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,212,N KINGSHIGHWAY BLVD,38, ,@HOTEL- CHASE PARK PLAZA ROOM #755,212,KINGSHIGHWAY,887710.9,1023513
18-000014,2018-01,01/01/2018 00:05,Y, , ,1, ,152200,4,WEAPONS-CITY VIOL/DISCHRGING IN CITY,721,N 17TH ST,36, , ,721,17TH,905047.1,1019783
18-000007,2018-01,01/01/2018 00:05,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,35,S GRAND BLVD,37, ,CIRCLE K, , ,896073.6,1019677
18-000013,2018-01,01/01/2018 00:10,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT,0,CONVENTION PZ / N TUCKER BLVD,35, , ,721,TUCKER,906992.1,1019584
18-000016,2018-01,01/01/2018 00:10,Y, , ,1, , 38411,4,ROBBERY CARJACKING /STRNGARM/INJURY/SUCCESS,801,N 1ST ST,35,ST. LOUIS PARKING, ,118,MORGAN,910545.2,1018735
18-000617,2018-01,01/01/2018 00:12,Y, , ,1, ,152200,2,WEAPONS-CITY VIOL/DISCHRGING IN CITY,4009,SHAW AVE,27, , ,4009,SHAW,892136,1013335
18-000032,2018-01,01/01/2018 00:14,Y, , ,1, , 41021,1,AGG.ASSAULT-FIREARM/CITIZEN CHILD 1ST DEGREE,503,ROBERT AVE,1, , ,503,ROBERT,889199.9,990090.1
18-000225,2018-01,01/01/2018 00:20,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,5642,PARK LN,76, , ,5642,PARK,891098.6,1046690
18-000097,2018-01,01/01/2018 00:29,Y, , ,1, , 67701,4,LARCENY-FROM BUILDING UNDER $500,511,CLARK AVE,35,PBR BAR, ,511,CLARK,908475.3,1015955
18-000230,2018-01,01/01/2018 00:30,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3300,HAMILTON AVE,50, , ,3300,HAMILTON,884242,1037728
18-004826,2018-01,01/01/2018 00:30,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,6700,PLAINVIEW AVE,9, , ,6700,PLAINVIEW,0,0
18-000017,2018-01,01/01/2018 00:30,Y, , ,1, ,266510,4,PUBLIC ORDER-TRESPASSING,1000,SPRUCE ST,35,WHEELHOUSE, ,1000,SPRUCE,906666.7,1015976
18-000212,2018-01,01/01/2018 00:35,Y, , ,1, ,152200,3,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3645,IOWA AVE,19, ,EAST GANGWAY,3645,IOWA,897320.1,1003361
18-000012,2018-01,01/01/2018 00:40,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1543,GIESEKING LA,73, , ,1543,GIESEKING,893237.2,1049107
18-000031,2018-01,01/01/2018 00:40,Y, , ,1, , 91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,2814,MERAMEC ST,17, , ,2814,MERAMEC,896328.4,999907
18-000213,2018-01,01/01/2018 00:55,Y, , ,1, ,152200,3,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3142,WINNEBAGO ST,19, , ,3142,WINNEBAGO,895233.1,1003420
18-000303,2018-01,01/01/2018 00:55,Y, , ,1, ,152200,3,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3143,WINNEBAGO ST,19, , ,3143,WINNEBAGO,895430.6,1003585
18-000022,2018-01,01/01/2018 01:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3418,GRACE AVE,15, , ,3418,GRACE,893286.1,1005801
18-000257,2018-01,01/01/2018 01:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,2654,WYOMING ST,30, , ,2654,WYOMING,898271.5,1006290
18-000709,2018-01,01/01/2018 01:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,4300,KENNERLY AVE,57, , ,4300,KENNERLY,0,0
18-000049,2018-01,01/01/2018 01:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,3307,OSAGE ST,16, , ,3307,OSAGE,894404.3,1001736
